"System"	"X"	"Y"	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050	3050	3050	3051	3052	3057	3058	3059	3059	3059	3059	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145
"Utrecht"	23.514	236.473			"TamP"	"TamP"		"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"DC,Rasalhague Military District,Tinaca Prefecture"	"LC,Tamar Pact,Camlann Shire"	"LC,Tamar Pact,Camlann Shire"	"LC,Tamar Pact,Orkney Shire"	"DC,Rasalhague Military District,Rubigen Prefecture"	"LC,Tamar Pact,Tamar Domains"	"FRR,Skandia Province"	"FRR,Skandia Province"	"FRR,Skandia Province"	"FRR,Skandia Province"	"FRR,Skandia Province"	"FRR,Skandia Province"	"CGB"	"CGB"	"CGB"	"CGB"	"CGB"	"CGB"	"CGB"	"GBD"	"GBD"	"GBD"	"GBD"	"GBD"	"GBD"	"GBD"	"GBD"	"RD,Region 3"	"RD,Region 3"	"RD,Region 3"
"Uzhgorod"	-213.996	56.825	"I"	"I"	"I"	"I"		"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Bolan Province"	"LC,Protectorate of Donegal,Bolan Province"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"FCL,Tamarind March,Soilihull Operational Area,Region 1"	"LA,Tamarind March,Soilihull Operational Area,Region 1"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province"	"LA,Bolan Province,Halfway Archonette"	"LA,Bolan Province,Halfway Archonette"	"LA,Bolan Province,Halfway Archonette"	"LC,Bolan Province"	"LC,Bolan Province"	"LC,Bolan Province"	"LC,Bolan Province"	"WE"
"Vaajakoski"	118.997	158.047	"U"	"U"	"U"			"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Vackisujfalu"	466.311	-286.49						"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"MC"	"D"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"I"	"I"	"I"	"I"	"I"
"Vakarel"	-141.443	-351.905	"U"	"U"	"U"	"U"	"U"	"MOC"	"FWL,Duchy of Andurien"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"I"	"I"	"I"	"DA"	"DA"	"DA"
"Valabhi"	-414.699	239.659	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Finmark Province"	"RWR,Finmark Province"	"RWR,Finmark Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Valasha"	588.776	93.273						"OA"	"OA"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"OA,Baliggora Province"	"I"	"I"	"I"	"I"	"I"
"Valdives"	98.85	-371.583	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Valencia"	-708.323	1123.766	"U"	"U"	"U"	"U"	"U"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"NC"	"EI"	"EI"	"EI"	"EI"	"EI"	"EI"
"Valentina"	397.814	141.609	"U"	"U"	"U"			"OA"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"DC,Galedon Military District,Kaznejoy Prefecture"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"RA"	"RA"	"DC,New Samarkand Military District,Kaznejoy Prefecture"	"DC,New Samarkand Military District,Kaznejoy Prefecture"	"DC,New Samarkand Military District,Kaznejoy Prefecture"
"Valerius"	-452.99	-154.235	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"
"Valexa"	113.805	-86.807			"I"		"SS"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"CC,Sarna Commonality,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 1"	"FS,Capellan March,Kathil Operational Area,Region 1"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"
"Valil'yevskiy"	-329.572	-178.153	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"I"	"I"	"I"	"I"	"I"	"FWL"
"Valladolid (Mudd's Hut 2864+)"	-556.328	200.497	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Timbuktu Province"	"RWR,Timbuktu Province"	"RWR,Timbuktu Province"	"I"	"I"	"I"	"I"	"I"	"I"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Valloire"	-384.098	39.902						"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"FCL,Periphery March,Venaria Operational Area,Region 3"	"LA,Periphery March,Venaria Operational Area,Region 3"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Buena Province"	"LC,Buena Province"	"LC,Buena Province"	"LC,Buena Province"	"LC,Buena Province"	"LC,Buena Province"
"Valmiera"	188.947	132.044			"AG"	"DC"	"DC"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"
"Valois"	589.489	-166.238	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Van Diemen"	-32.831	-41.666	"I"	"I"	"I"	"TH"	"FWL"	"TH,Terra Firma Province"	"TH,Terra Firma Province"	"TH,Terra Firma Province"	"TH,Terra Firma Province"	"AE,Terra Firma Province"	"TH,Terra Firma Province"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"TFR"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"LA,Sarna March,Terra Firma Operational Area,Region 2"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"WOB"	"CoF"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"I"	"FWL,Augustine Alliance"
"Vandalia"	477.69	-66.217						"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FCF,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Anjin Muerto Combat Region"
"Vanern"	159.223	141.093			"AG"	"DC"	"DC"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Kajikazawa Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"	"DC,Benjamin Military District,Benjamin Prefecture"
"Vangburg"	613.999	267.841	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"OA,Traders Domain"	"OA,Traders Domain"	"OA,Traders Domain"	"OA,Traders Domain"	"OA,Traders Domain"	"OA,Traders Domain"	"OA,Traders Domain"	"OA,Traders Domain"	"I"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Vannes"	-167.474	548.318	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Apollo Province"	"RWR,Apollo Province"	"RWR,Apollo Province"	"I"	"I"	"I"	"I"	"I"	"I"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"	"CI"
"Vanra"	-48.342	-163.191	"FO"				"CCom"	"CC,Capella Commonality,Region 1"	"CC,Capella Commonality,Region 1"	"CC,Capella Commonality,Region 1"	"CC,Capella Commonality,Region 1"	"CC,Capella Commonality,Region 1"	"CC,Capella Commonality,Region 1"	"CC,Capella Commonality,Region 1"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"FWL,Duchy of Orloff"	"DoO"	"DO"	"OP"	"OP"	"OP"	"FWL,Oriente Protectorate"
"Vantaa"	-72.637	351.506						"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CJF"	"CJF"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Vard"	74.174	-354.976	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 9"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Sian Commonality,Region 14"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"	"CC,Victoria Commonality,Region 4"
